"id","name","fecha","precio"
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-03",207.04
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-03",68.79
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-03",31.93
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-03",216.76
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-03",98.68
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-04",362.57
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-04",210.32
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-04",69.58
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-04",32.15
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-04",217.25
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-04",98.77
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-05",361.35
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-05",211.47
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-05",69.29
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-05",32.29
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-05",217.25
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-05",98.64
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-06",361.76
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-06",211.72
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-06",69.63
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-06",32.4
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-06",217.36
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-06",98.84
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-07",358.36
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-07",211.72
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-07",69.22
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-07",32.4
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-07",217.24
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-07",98.81
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-08",358.98
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-08",211.84
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-08",69.46
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-08",32.57
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-08",217.24
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-08",98.95
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-09",358.98
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-09",211.84
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-09",69.46
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-09",32.57
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-09",217.24
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-09",98.95
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-10",358.98
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-10",211.84
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-10",69.46
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-10",32.57
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-10",217.24
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-10",98.95
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-11",356.61
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-11",213.05
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-11",68.85
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-11",32.57
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-11",217.24
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-11",98.86
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-12",356.76
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-12",214.35
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-12",69.22
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-12",32.5
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-12",217.26
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-12",98.78
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-13",358.85
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-13",214.01
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-13",69.22
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-13",32.53
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-13",217.15
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-13",98.63
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-14",357.04
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-14",215.28
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-14",69.61
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-14",32.56
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-14",216.24
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-14",98.33
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-15",354.18
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-15",213.9
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-15",69.52
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-15",32.33
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-15",215.32
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-15",98.33
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-16",354.18
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-16",213.9
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-16",69.52
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-16",32.33
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-16",215.32
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-16",98.03
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-17",354.18
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-17",213.9
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-17",69.52
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-17",32.33
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-17",215.32
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-17",98.03
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-18",353.88
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-18",213.9
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-18",69.67
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-18",32.3
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-18",215.32
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-18",98.05
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-19",350.87
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-19",211.06
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-19",69.45
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-19",32.17
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-19",215.44
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-19",98.02
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-20",342.04
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-20",211.98
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-20",67.58
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-20",32.19
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-20",215.17
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-20",97.66
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-21",341.67
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-21",211.35
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-21",68.12
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-21",31.72
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-21",214.39
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-21",97.31
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-22",343.34
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-22",209.21
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-22",68.74
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-22",31.43
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-22",214.68
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-22",97.48
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-23",343.34
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-23",209.21
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-23",68.74
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-23",31.43
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-23",214.68
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-23",97.48
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-24",343.34
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-24",209.21
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-24",68.74
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-24",31.43
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-24",214.68
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-24",97.48
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-25",343.88
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-25",211.34
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-25",69.29
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-25",31.48
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-25",214.13
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-25",97.27
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-26",346.08
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-26",211.89
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-26",70.04
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-26",31.54
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-26",214.1
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-26",97.29
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-27",346.08
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-27",211.89
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-27",70.04
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-27",31.54
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-27",214.1
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-27",97.29
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-28",346.83
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-28",211.49
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-28",69.9
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-28",31.5
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-28",214.13
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-28",97.32
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-29",344.61
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-29",210.94
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-29",69.05
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-29",31.81
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-29",213.47
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-29",97.13
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-30",344.61
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-30",210.94
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-30",69.05
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-30",31.81
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-30",213.47
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-30",97.13
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2024-12-31",344.61
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2024-12-31",210.94
"IE0032126645","Vanguard_us_500_stk_idx__acc","2024-12-31",69.05
"IE0007987708","Vanguard_pean_stk_idx__acc","2024-12-31",31.81
"IE0007472990","Vanguard__govt_bd_idx__acc","2024-12-31",213.47
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2024-12-31",97.13
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2025-01-01",343.75
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2025-01-01",210.9
"IE0032126645","Vanguard_us_500_stk_idx__acc","2025-01-01",68.59
"IE0007987708","Vanguard_pean_stk_idx__acc","2025-01-01",31.6
"IE0007472990","Vanguard__govt_bd_idx__acc","2025-01-01",213.9
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2025-01-01",97.4
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2025-01-02",343.75
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2025-01-02",210.88
"IE0032126645","Vanguard_us_500_stk_idx__acc","2025-01-02",68.47
"IE0007987708","Vanguard_pean_stk_idx__acc","2025-01-02",31.77
"IE0007472990","Vanguard__govt_bd_idx__acc","2025-01-02",213.76
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2025-01-02",97.36
"IE00B42W4L06","Vanguard_glb_smallcp_idx__acc","2025-01-03",345.16
"IE0031786696","Vanguard_em_mkts_stk_idx__acc","2025-01-03",210.88
"IE0032126645","Vanguard_us_500_stk_idx__acc","2025-01-03",68.47
"IE0007987708","Vanguard_pean_stk_idx__acc","2025-01-03",31.77
"IE0007472990","Vanguard__govt_bd_idx__acc","2025-01-03",213.76
"IE00B18GC888","Vanguard_global_bd_idx_eur_h_acc","2025-01-03",97.36
